Time (ms),Voltage (V)
0,5.0
10,4.85
20,4.64
31,4.46
42,4.29
52,4.13
63,3.99
73,3.86
84,3.74
94,3.63
105,3.52
115,3.43
126,3.34
137,3.26
147,3.19
157,3.12
169,3.05
179,2.99
189,2.94
200,2.89
211,2.84
221,2.8
232,2.76
243,2.72
254,2.68
264,2.65
274,2.62
284,2.59
296,2.56
306,2.54
316,2.51
327,2.49
338,2.47
348,2.45
359,2.43
369,2.42
380,2.4
391,2.39
401,2.37
411,2.36
423,2.35
433,2.34
443,2.32
454,2.31
465,2.3
475,2.29
486,2.28
496,2.27
507,2.26
518,2.25
528,2.25
538,2.24
550,2.23
560,2.23
571,2.22
581,2.22
592,2.21
603,2.21
613,2.21
623,2.2
635,2.2
645,2.19
655,2.19
666,2.18
677,2.18
687,2.18
698,2.17
708,2.17
719,2.17
730,2.17
740,2.16
750,2.16
762,2.15
772,2.15
782,2.15
793,2.15
803,2.14
814,2.14
825,2.14
835,2.14
845,2.13
857,2.13
867,2.13
877,2.13
888,2.12
899,2.12
909,2.12
920,2.12
930,2.12
941,2.11
952,2.11
962,2.11
972,2.11
984,2.11
994,2.11
1004,2.1
1015,2.1
1026,2.1
1037,2.1
1047,2.1
1057,2.09
1069,2.09
1079,2.09
1089,2.09
1100,2.09
1111,2.09
1122,2.08
1132,2.08
1142,2.08
1154,2.08
1164,2.08
1175,2.08
1185,2.08
1196,2.08
1207,2.08
1217,2.07
1227,2.07
1239,2.07
1249,2.07
1260,2.07
1270,2.07
1281,2.07
1292,2.07
1302,2.07
1312,2.07
1324,2.07
1334,2.07
1345,2.07
1355,2.07
1366,2.07
1377,2.07
1387,2.06
1398,2.06
1409,2.06
1419,2.06
1430,2.06
1440,2.06
1451,2.06
1462,2.06
1472,2.06
1483,2.06
1494,2.06
1504,2.06
1515,2.06
1525,2.06
1536,2.06
1547,2.06
1557,2.06
1568,2.06
1579,2.05
1589,2.05
1600,2.05
1610,2.05
1621,2.05
